取得日,店名,機種,容量,状態,買取価格,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/16,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro Max,1TB,新品,273000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro Max,2TB,新品,304000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro Max,256GB,新品,216500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro Max,512GB,新品,248500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro,1TB,新品,252500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro,256GB,新品,198500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17 Pro,512GB,新品,223500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17,256GB,新品,121000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 17,512GB,新品,148000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/18,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro Max,1TB,新品,273000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro Max,256GB,新品,217000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro Max,512GB,新品,248500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro,1TB,新品,252500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro,256GB,新品,198500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17 Pro,512GB,新品,223500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17,256GB,新品,121000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 17,512GB,新品,148000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/20,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro Max,1TB,新品,273000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro Max,256GB,新品,217500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro Max,512GB,新品,249000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro,1TB,新品,252500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro,256GB,新品,199000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17 Pro,512GB,新品,223500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17,256GB,新品,121500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 17,512GB,新品,148000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/21,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro Max,1TB,新品,273000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro Max,256GB,新品,218500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro Max,512GB,新品,249000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro,1TB,新品,252500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro,256GB,新品,199500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17 Pro,512GB,新品,223500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17,256GB,新品,121500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 17,512GB,新品,148000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/22,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro Max,1TB,新品,274000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro Max,256GB,新品,219500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro Max,512GB,新品,252000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro,1TB,新品,253500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro,256GB,新品,201000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17 Pro,512GB,新品,225000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17,256GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 17,512GB,新品,148500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/23,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro Max,1TB,新品,275000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro Max,256GB,新品,220500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro Max,512GB,新品,253000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro,1TB,新品,254500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro,256GB,新品,201500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17 Pro,512GB,新品,225500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17,256GB,新品,123500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 17,512GB,新品,149500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro Max,1TB,新品,242500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro Max,256GB,新品,188000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro Max,512GB,新品,213500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro,1TB,新品,219000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro,128GB,新品,159000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro,256GB,新品,178500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16 Pro,512GB,新品,202500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16,128GB,新品,106000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16,256GB,新品,115000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 16,512GB,新品,122500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro Max,1TB,新品,174000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro Max,256GB,新品,155000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro Max,512GB,新品,167000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro,1TB,新品,158000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro,128GB,新品,131000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro,256GB,新品,141000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15 Pro,512GB,新品,151000,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15,128GB,新品,84500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15,256GB,新品,92500,,,,,,,,,,,,,,,,,,,,,,
2026/04/24,買取一丁目,iPhone 15,512GB,新品,100000,,,,,,,,,,,,,,,,,,,,,,
2026/04/25,買取一丁目,iPhone 17 Pro Max,256GB,新品,220500,,,,,,,,,,,,,,,,,,,,,,
2026/04/25,買取一丁目,iPhone 17 Pro Max,512GB,新品,253000,,,,,,,,,,,,,,,,,,,,,,
2026/04/25,買取一丁目,iPhone 17 Pro Max,1TB,新品,275000,,,,,,,,,,,,,,,,,,,,,,
2026/04/25,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/25,買取一丁目,iPhone 17 Pro,256GB,新品,201500,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro Max,256GB,新品,220500,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro Max,512GB,新品,253000,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro Max,1TB,新品,275000,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro Max,2TB,新品,305000,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro,256GB,新品,201500,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro,512GB,新品,225500,,,,,,,,,,,,,,,,,,,,,,
2026/04/26,買取一丁目,iPhone 17 Pro,1TB,新品,254500,,,,,,,,,,,,,,,,,,,,,,